Date,Balance,
20/01/2018,2210.32,
21/01/2018,2208.03,
21/01/2018,2206.45,
21/01/2018,2177.95,
22/01/2018,2172.95,
24/01/2018,2166.96,
24/01/2018,2163.96,
24/01/2018,1813.96,
25/01/2018,1809.26,
25/01/2018,1789.26,
27/01/2018,1784.26,
28/01/2018,1781.47,
28/01/2018,1779.59,
28/01/2018,1778.09,
28/01/2018,1775.80,
28/01/2018,1775.01,
30/01/2018,1713.01,
31/01/2018,1651.01,
31/01/2018,1775.01,
31/01/2018,1769.51,
01/02/2018,1764.01,
01/02/2018,1760.31,
02/02/2018,1754.81,
04/02/2018,1752.52,
04/02/2018,1750.52,
04/02/2018,1748.73,
04/02/2018,1748.06,
05/02/2018,1743.06,
06/02/2018,1682.06,
06/02/2018,1662.06,
08/02/2018,1600.06,
08/02/2018,1598.06,
08/02/2018,1597.06,
08/02/2018,1592.06,
09/02/2018,1516.21,
09/02/2018,1514.71,
09/02/2018,1513.21,
09/02/2018,1510.21,
10/02/2018,1507.92,
10/02/2018,1505.43,
10/02/2018,1504.27,
10/02/2018,1627.27,
13/02/2018,1565.27,
13/02/2018,1564.27,
13/02/2018,1626.27,
15/02/2018,1612.27,
15/02/2018,1610.27,
17/02/2018,1607.98,
17/02/2018,1605.19,
17/02/2018,1603.61,
17/02/2018,1600.92,
19/02/2018,1595.42,
19/02/2018,1594.42,
20/02/2018,1532.42,
22/02/2018,1470.42,
23/02/2018,1464.42,
23/02/2018,1459.42,
24/02/2018,1457.13,
24/02/2018,1455.34,
24/02/2018,1453.76,
24/02/2018,1451.88,
24/02/2018,1101.88,
24/02/2018,1033.88,
24/02/2018,1157.88,
24/02/2018,1135.41,
26/02/2018,1129.91,
27/02/2018,1124.41,
28/02/2018,1118.41,
01/03/2018,1117.25,
01/03/2018,1115.60,
01/03/2018,1114.60,
01/03/2018,1113.30,
01/03/2018,1108.30,
02/03/2018,1063.30,
04/03/2018,1061.82,
04/03/2018,1060.84,
04/03/2018,1058.55,
04/03/2018,1057.76,
06/03/2018,995.76,
06/03/2018,990.76,
06/03/2018,980.76,
06/03/2018,970.76,
07/03/2018,1032.76,
08/03/2018,1012.76,
10/03/2018,1010.47,
10/03/2018,1007.68,
10/03/2018,1005.48,
10/03/2018,1004.83,
10/03/2018,1003.89,
10/03/2018,1003.39,
12/03/2018,997.39,
13/03/2018,920.39,
13/03/2018,915.39,
14/03/2018,992.39,
15/03/2018,986.39,
16/03/2018,886.39,
16/03/2018,883.49,
16/03/2018,875.99,
16/03/2018,873.70,
16/03/2018,871.50,
16/03/2018,870.85,
16/03/2018,869.35,
20/03/2018,807.35,
21/03/2018,767.35,
21/03/2018,761.35,
23/03/2018,760.05,
23/03/2018,759.40,
23/03/2018,758.46,
23/03/2018,755.67,
23/03/2018,753.38,
23/03/2018,815.38,
23/03/2018,811.38,
23/03/2018,810.68,
23/03/2018,460.68,
24/03/2018,453.68,
28/03/2018,445.33,
30/03/2018,439.33,
30/03/2018,435.13,
30/03/2018,430.83,
30/03/2018,428.54,
30/03/2018,426.75,
30/03/2018,425.45,
30/03/2018,424.15,
31/03/2018,414.15,
03/04/2018,408.15,
06/04/2018,1408.15,
06/04/2018,1405.36,
06/04/2018,1399.36,
06/04/2018,1397.07,
06/04/2018,1395.78,
09/04/2018,1389.78,
10/04/2018,1369.31,
11/04/2018,1363.31,
12/04/2018,1359.31,
12/04/2018,1358.31,
12/04/2018,1314.31,
13/04/2018,1312.53,
13/04/2018,1310.53,
14/04/2018,1306.53,
14/04/2018,1304.24,
14/04/2018,1302.45,
14/04/2018,1298.45,
14/04/2018,1296.45,
17/04/2018,1228.95,
17/04/2018,1224.45,
18/04/2018,1219.95,
18/04/2018,1199.95,
20/04/2018,1193.95,
21/04/2018,1183.95,
22/04/2018,1182.65,
22/04/2018,1180.36,
22/04/2018,1178.36,
22/04/2018,1176.81,
23/04/2018,1220.81,
23/04/2018,870.81,
24/04/2018,864.81,
24/04/2018,932.31,
25/04/2018,926.31,
28/04/2018,920.31,
29/04/2018,918.02,
29/04/2018,916.52,
29/04/2018,910.52,
30/04/2018,906.52,
30/04/2018,866.52,
02/05/2018,860.52,
04/05/2018,857.83,
04/05/2018,855.83,
04/05/2018,854.89,
04/05/2018,852.60,
05/05/2018,832.13,
05/05/2018,838.13,
06/05/2018,793.63,
06/05/2018,800.63,
06/05/2018,809.63,
11/05/2018,805.63,
11/05/2018,803.38,
11/05/2018,783.38,
11/05/2018,774.88,
12/05/2018,773.09,
12/05/2018,772.30,
12/05/2018,770.01,
12/05/2018,769.01,
12/05/2018,766.01,
12/05/2018,765.07,
12/05/2018,764.28,
14/05/2018,748.80,
15/05/2018,746.22,
15/05/2018,743.22,
15/05/2018,741.27,
16/05/2018,731.52,
17/05/2018,725.52,
17/05/2018,705.52,
17/05/2018,693.77,
17/05/2018,687.77,
18/05/2018,683.02,
18/05/2018,681.02,
18/05/2018,676.22,
18/05/2018,670.22,
18/05/2018,664.22,
19/05/2018,661.23,
21/05/2018,641.23,
21/05/2018,592.23,
21/05/2018,567.73,
21/05/2018,543.23,
21/05/2018,518.73,
21/05/2018,494.23,
21/05/2018,494.22,
29/05/2018,482.17,
29/05/2018,132.17,
29/06/2018,832.17,
29/06/2018,482.17,
27/07/2018,132.17,
15/08/2018,127.17,
15/08/2018,112.17,
17/08/2018,3062.17,
18/08/2018,3061.17,
19/08/2018,3050.17,
20/08/2018,3048.17,
20/08/2018,3047.35,
20/08/2018,3047.21,
20/08/2018,3046.34,
20/08/2018,3045.95,
20/08/2018,3045.08,
20/08/2018,3044.68,
20/08/2018,3044.18,
21/08/2018,3039.58,
21/08/2018,3033.58,
21/08/2018,3032.08,
21/08/2018,3030.58,
22/08/2018,3028.29,
22/08/2018,3027.35,
22/08/2018,3025.61,
22/08/2018,3023.82,
26/08/2018,3013.82,
26/08/2018,3012.24,
